"sciname","localityID","aphiaID","Count","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified","country","verbatimLocality","larva_other","adult","larva"
"actinia equina","CN01",100803,5.0000043429231,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Southwest England","Lizard Point","macrobenthos",NA,NA
"actinia equina","CN02",100803,5.0000043429231,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Southwest England","Sennen Cove","macrobenthos",NA,NA
"actinia equina","CN03",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Southwest England","Looe","macrobenthos",NA,NA
"actinia equina","CN04",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Southwest England","St Ives","macrobenthos",NA,NA
"actinia equina","CN05",100803,2.00432137378264,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Southwest England","Trevone","macrobenthos",NA,NA
"actinia equina","NE01",100803,4.00004342727686,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Northeast England","Filey Brigg","macrobenthos",NA,NA
"actinia equina","NE02",100803,4.00004342727686,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Northeast England","Scalby Mills","macrobenthos",NA,NA
"actinia equina","NE03",100803,5.0000043429231,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Northeast England","Rumbling Kern","macrobenthos",NA,NA
"actinia equina","NE04",100803,0,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Northeast England","Newton Point","macrobenthos",NA,NA
"actinia equina","NE05",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Northeast England","Castlehead Rocks","macrobenthos",NA,NA
