"family","region","eDNA_detected","visual_detected","total_detected","perc_match","more_detected"
"Actiniidae","Scotland",8,7,15,53.3333333333333,"eDNA"
"Actiniidae","Northeast England",5,4,9,55.5555555555556,"eDNA"
"Actiniidae","North Wales",6,5,11,54.5454545454545,"eDNA"
"Actiniidae","South Wales",8,5,13,61.5384615384615,"eDNA"
"Actiniidae","Southwest England",10,5,15,66.6666666666667,"eDNA"
"Alariaceae","Scotland",0,2,2,0,"Visual"
"Alariaceae","Northeast England",0,3,3,0,"Visual"
"Alariaceae","North Wales",0,1,1,0,"Visual"
"Alariaceae","Southwest England",0,3,3,0,"Visual"
"Asteriidae","Scotland",8,0,8,100,"eDNA"
"Asteriidae","Northeast England",2,1,3,66.6666666666667,"eDNA"
"Asteriidae","Southwest England",1,0,1,100,"eDNA"
"Balanidae","Scotland",9,7,16,56.25,"eDNA"
"Balanidae","Northeast England",4,5,9,44.4444444444444,"Visual"
"Balanidae","North Wales",9,6,15,60,"eDNA"
"Balanidae","South Wales",5,6,11,45.4545454545455,"Visual"
"Balanidae","Southwest England",4,5,9,44.4444444444444,"Visual"
"Bonnemaisoniaceae","Scotland",6,0,6,100,"eDNA"
"Bonnemaisoniaceae","Northeast England",3,0,3,100,"eDNA"
"Bonnemaisoniaceae","Southwest England",9,1,10,90,"eDNA"
"Calliostomatidae","Scotland",2,1,3,66.6666666666667,"eDNA"
"Calliostomatidae","Southwest England",0,3,3,0,"Visual"
"Calyptraeidae","South Wales",0,1,1,0,"Visual"
"Caulacanthaceae","Scotland",2,0,2,100,"eDNA"
"Caulacanthaceae","Northeast England",2,0,2,100,"eDNA"
"Caulacanthaceae","South Wales",6,0,6,100,"eDNA"
"Caulacanthaceae","Southwest England",4,1,5,80,"eDNA"
"Chthamalidae","Scotland",3,3,6,50,"Equal"
"Chthamalidae","North Wales",1,4,5,20,"Visual"
"Chthamalidae","South Wales",3,5,8,37.5,"Visual"
"Chthamalidae","Southwest England",4,5,9,44.4444444444444,"Visual"
"Codiaceae","North Wales",0,1,1,0,"Visual"
"Codiaceae","Southwest England",0,3,3,0,"Visual"
"Corellidae","Northeast England",2,0,2,100,"eDNA"
"Corellidae","North Wales",3,0,3,100,"eDNA"
"Corellidae","South Wales",1,2,3,33.3333333333333,"Visual"
"Corellidae","Southwest England",2,0,2,100,"eDNA"
"Cystocloniaceae","Scotland",11,0,11,100,"eDNA"
"Cystocloniaceae","Northeast England",1,0,1,100,"eDNA"
"Cystocloniaceae","North Wales",4,0,4,100,"eDNA"
"Cystocloniaceae","South Wales",5,0,5,100,"eDNA"
"Cystocloniaceae","Southwest England",3,3,6,50,"Equal"
"Delesseriaceae","Scotland",13,0,13,100,"eDNA"
"Delesseriaceae","Northeast England",7,0,7,100,"eDNA"
"Delesseriaceae","North Wales",9,0,9,100,"eDNA"
"Delesseriaceae","South Wales",9,0,9,100,"eDNA"
"Delesseriaceae","Southwest England",10,0,10,100,"eDNA"
"Dictyotaceae","Scotland",7,0,7,100,"eDNA"
