"family","eDNA_detected","visual_detected","total_detected","perc_match","more_detected"
"Actiniidae",37,26,63,58.7301587301587,"eDNA"
"Alariaceae",0,9,9,0,"Visual"
"Asteriidae",11,1,12,91.6666666666667,"eDNA"
"Balanidae",31,29,60,51.6666666666667,"eDNA"
"Bonnemaisoniaceae",18,1,19,94.7368421052632,"eDNA"
"Calliostomatidae",2,4,6,33.3333333333333,"Visual"
"Calyptraeidae",0,1,1,0,"Visual"
"Caulacanthaceae",14,1,15,93.3333333333333,"eDNA"
"Chthamalidae",11,17,28,39.2857142857143,"Visual"
"Codiaceae",0,4,4,0,"Visual"
"Corellidae",8,2,10,80,"eDNA"
"Cystocloniaceae",24,3,27,88.8888888888889,"eDNA"
"Delesseriaceae",48,0,48,100,"eDNA"
"Dictyotaceae",33,0,33,100,"eDNA"
"Didemnidae",8,0,8,100,"eDNA"
"Diogenidae",0,2,2,0,"Visual"
"Dumontiaceae",32,0,32,100,"eDNA"
"Elminiidae",8,10,18,44.4444444444444,"Visual"
"Fucaceae",53,29,82,64.6341463414634,"eDNA"
"Gigartinaceae",22,23,45,48.8888888888889,"Visual"
"Grateloupiaceae",2,2,4,50,"Equal"
"Halichondriidae",29,19,48,60.4166666666667,"eDNA"
"Haliotidae",1,0,1,100,"eDNA"
"Himanthaliaceae",21,14,35,60,"eDNA"
"Laminariaceae",24,22,46,52.1739130434783,"eDNA"
"Lichinaceae",0,13,13,0,"Visual"
"Littorinidae",46,29,75,61.3333333333333,"eDNA"
"Muricidae",5,28,33,15.1515151515152,"Visual"
"Mytilidae",37,11,48,77.0833333333333,"eDNA"
"Onchidiidae",0,1,1,0,"Visual"
"Ostreidae",2,0,2,100,"eDNA"
"Palmariaceae",2,15,17,11.7647058823529,"Visual"
"Parechinidae",5,0,5,100,"eDNA"
"Patellidae",23,29,52,44.2307692307692,"Visual"
"Perophoridae",6,0,6,100,"eDNA"
"Phyllariaceae",5,6,11,45.4545454545455,"Visual"
"Phyllophoraceae",42,18,60,70,"eDNA"
"Sabellariidae",25,1,26,96.1538461538462,"eDNA"
"Sargassaceae",42,16,58,72.4137931034483,"eDNA"
"Scytosiphonaceae",51,3,54,94.4444444444444,"eDNA"
"Styelidae",29,1,30,96.6666666666667,"eDNA"
"Trochidae",49,25,74,66.2162162162162,"eDNA"
