"genus","region","eDNA_detected","visual_detected","total_detected","perc_match","more_detected"
"Actinia","Scotland",7,7,14,50,"Equal"
"Actinia","Northeast England",3,4,7,42.8571428571429,"Visual"
"Actinia","North Wales",3,4,7,42.8571428571429,"Visual"
"Actinia","South Wales",1,5,6,16.6666666666667,"Visual"
"Actinia","Southwest England",5,5,10,50,"Equal"
"Alaria","Scotland",0,2,2,0,"Visual"
"Alaria","Northeast England",0,3,3,0,"Visual"
"Alaria","North Wales",0,1,1,0,"Visual"
"Alaria","Southwest England",0,3,3,0,"Visual"
"Anemonia","North Wales",0,2,2,0,"Visual"
"Anemonia","South Wales",0,3,3,0,"Visual"
"Anemonia","Southwest England",0,5,5,0,"Visual"
"Ascophyllum","Scotland",2,4,6,33.3333333333333,"Visual"
"Ascophyllum","Northeast England",0,4,4,0,"Visual"
"Ascophyllum","North Wales",0,4,4,0,"Visual"
"Ascophyllum","South Wales",1,6,7,14.2857142857143,"Visual"
"Ascophyllum","Southwest England",0,3,3,0,"Visual"
"Asparagopsis","Southwest England",4,1,5,80,"eDNA"
"Asterias","Scotland",4,0,4,100,"eDNA"
"Asterias","Northeast England",1,1,2,50,"Equal"
"Asterias","Southwest England",1,0,1,100,"eDNA"
"Aulactinia","Southwest England",1,0,1,100,"eDNA"
"Austrominius","Northeast England",1,1,2,50,"Equal"
"Austrominius","North Wales",2,4,6,33.3333333333333,"Visual"
"Austrominius","South Wales",3,4,7,42.8571428571429,"Visual"
"Austrominius","Southwest England",2,1,3,66.6666666666667,"eDNA"
"Balanus","Scotland",1,0,1,100,"eDNA"
"Balanus","Northeast England",3,0,3,100,"eDNA"
"Balanus","North Wales",2,1,3,66.6666666666667,"eDNA"
"Balanus","South Wales",0,2,2,0,"Visual"
"Balanus","Southwest England",1,0,1,100,"eDNA"
"Bifurcaria","South Wales",0,2,2,0,"Visual"
"Bifurcaria","Southwest England",3,4,7,42.8571428571429,"Visual"
"Botrylloides","Scotland",6,0,6,100,"eDNA"
"Botrylloides","Northeast England",2,0,2,100,"eDNA"
"Botrylloides","North Wales",3,0,3,100,"eDNA"
"Botrylloides","South Wales",4,1,5,80,"eDNA"
"Botrylloides","Southwest England",4,0,4,100,"eDNA"
"Calliblepharis","South Wales",3,0,3,100,"eDNA"
"Calliblepharis","Southwest England",2,3,5,40,"Visual"
"Calliostoma","Scotland",2,1,3,66.6666666666667,"eDNA"
"Calliostoma","Southwest England",0,3,3,0,"Visual"
"Caulacanthus","Scotland",2,0,2,100,"eDNA"
"Caulacanthus","South Wales",4,0,4,100,"eDNA"
"Caulacanthus","Southwest England",3,1,4,75,"eDNA"
"Chondracanthus","South Wales",0,1,1,0,"Visual"
"Chondracanthus","Southwest England",1,1,2,50,"Equal"
"Chondrus","Scotland",7,5,12,58.3333333333333,"eDNA"
"Chondrus","Northeast England",2,4,6,33.3333333333333,"Visual"
