"taxa","region","eDNA_detected","visual_detected","total_detected","perc_match","more_detected"
"Actinia equina","North Wales",0,4,4,0,"Visual"
"Actinia equina","Northeast England",0,4,4,0,"Visual"
"Actinia equina","Scotland",0,7,7,0,"Visual"
"Actinia equina","South Wales",0,5,5,0,"Visual"
"Actinia equina","Southwest England",0,5,5,0,"Visual"
"Actinia fragacea","South Wales",0,1,1,0,"Visual"
"Alaria esculenta","North Wales",0,1,1,0,"Visual"
"Alaria esculenta","Northeast England",0,3,3,0,"Visual"
"Alaria esculenta","Scotland",0,2,2,0,"Visual"
"Alaria esculenta","Southwest England",0,3,3,0,"Visual"
"Anemonia viridis","North Wales",0,2,2,0,"Visual"
"Anemonia viridis","South Wales",0,3,3,0,"Visual"
"Anemonia viridis","Southwest England",0,5,5,0,"Visual"
"Ascophyllum nodosum","North Wales",0,4,4,0,"Visual"
"Ascophyllum nodosum","Northeast England",0,4,4,0,"Visual"
"Ascophyllum nodosum","Scotland",2,4,6,33.3333333333333,"Visual"
"Ascophyllum nodosum","South Wales",1,6,7,14.2857142857143,"Visual"
"Ascophyllum nodosum","Southwest England",0,3,3,0,"Visual"
"Asparagopsis armata","Southwest England",4,1,5,80,"eDNA"
"Asterias rubens","Northeast England",1,1,2,50,"Equal"
"Asterias rubens","Scotland",4,0,4,100,"eDNA"
"Asterias rubens","Southwest England",1,0,1,100,"eDNA"
"Austrominius modestus","North Wales",2,4,6,33.3333333333333,"Visual"
"Austrominius modestus","Northeast England",1,1,2,50,"Equal"
"Austrominius modestus","South Wales",3,4,7,42.8571428571429,"Visual"
"Austrominius modestus","Southwest England",2,1,3,66.6666666666667,"eDNA"
"Balanus crenatus","North Wales",0,1,1,0,"Visual"
"Balanus crenatus","South Wales",0,2,2,0,"Visual"
"Bifurcaria bifurcata","South Wales",0,2,2,0,"Visual"
"Bifurcaria bifurcata","Southwest England",3,4,7,42.8571428571429,"Visual"
"Botrylloides violaceus","South Wales",1,1,2,50,"Equal"
"Calliblepharis jubata","Southwest England",1,3,4,25,"Visual"
"Calliostoma zizyphinum","Scotland",2,1,3,66.6666666666667,"eDNA"
"Calliostoma zizyphinum","Southwest England",0,3,3,0,"Visual"
"Caulacanthus ustulatus","Southwest England",0,1,1,0,"Visual"
"Chondracanthus acicularis","South Wales",0,1,1,0,"Visual"
"Chondracanthus acicularis","Southwest England",1,1,2,50,"Equal"
"Chondrus crispus","North Wales",4,5,9,44.4444444444444,"Visual"
"Chondrus crispus","Northeast England",2,4,6,33.3333333333333,"Visual"
"Chondrus crispus","Scotland",7,5,12,58.3333333333333,"eDNA"
"Chondrus crispus","South Wales",5,3,8,62.5,"eDNA"
"Chondrus crispus","Southwest England",3,5,8,37.5,"Visual"
"Chthamalus montagui","North Wales",1,4,5,20,"Visual"
"Chthamalus montagui","Scotland",3,2,5,60,"eDNA"
"Chthamalus montagui","South Wales",3,5,8,37.5,"Visual"
"Chthamalus montagui","Southwest England",4,5,9,44.4444444444444,"Visual"
